kategori,layer,id,berkas_dashboard,kind,status,sumber_gpkg,keterangan,skrip_pembuat
Kebencanaan,Bahaya Banjir (NTB+NTT),bahaya_banjir_ntb_ntt,data/bahaya_banjir_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_banjir_ntb_ntt.gpkg,"6 fitur, sama persis",
Kebencanaan,Bahaya Banjir Bandang (NTB+NTT),bahaya_banjir_bandang_ntb_ntt,data/bahaya_banjir_bandang_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_banjir_bandang_ntb_ntt.gpkg,"6 fitur, sama persis",
Kebencanaan,Bahaya Cuaca Ekstrim (NTB+NTT),bahaya_cuaca_ekstrim_ntb_ntt,data/bahaya_cuaca_ekstrim_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_cuaca_ekstrim_ntb_ntt.gpkg,"6 fitur, sama persis",
Kebencanaan,Bahaya Gelombang Ekstrim & Abrasi (NTB+NTT),bahaya_gea_ntb_ntt,data/bahaya_gea_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_gea_ntb_ntt.gpkg,"6 fitur, sama persis",
Kebencanaan,Bahaya Gempa Bumi (NTB+NTT),bahaya_gempabumi_ntb_ntt,data/bahaya_gempabumi_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_gempabumi_ntb_ntt.gpkg,"6 fitur, sama persis",
Kebencanaan,Bahaya Kebakaran Hutan & Lahan (NTB+NTT),bahaya_karhutla_ntb_ntt,data/bahaya_karhutla_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_karhutla_ntb_ntt.gpkg,"6 fitur, sama persis",
Kebencanaan,Bahaya Kekeringan (NTB+NTT),bahaya_kekeringan_ntb_ntt,data/bahaya_kekeringan_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_kekeringan_ntb_ntt.gpkg,"4 fitur, sama persis",
Kebencanaan,Bahaya Letusan Gunung Api (NTB+NTT),bahaya_gunungapi_ntb_ntt,data/bahaya_gunungapi_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_gunungapi_ntb_ntt.gpkg,"6 fitur, sama persis",
Kebencanaan,Bahaya Likuefaksi (NTB+NTT),bahaya_likuefaksi_ntb_ntt,data/bahaya_likuefaksi_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_likuefaksi_ntb_ntt.gpkg,"6 fitur, sama persis",
Kebencanaan,Bahaya Tanah Longsor (NTB+NTT),bahaya_tanah_longsor_ntb_ntt,data/bahaya_tanah_longsor_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_tanah_longsor_ntb_ntt.gpkg,"6 fitur, sama persis",
Kebencanaan,Bahaya Tsunami (NTB+NTT),bahaya_tsunami_ntb_ntt,data/bahaya_tsunami_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_416_kebencanaan/output/bahaya_tsunami_ntb_ntt.gpkg,"6 fitur, sama persis",
Kepadatan Penggilingan,Jumlah Penggilingan per Desa (NTT),giling_desa,data/desa_boundary_with_giling.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Klimatologi,Curah Hujan (NTB+NTT),curah_hujan_ntb_ntt,data/curah_hujan_ntb_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_413_ntb_ntt/output/curah_hujan_ntb_ntt.gpkg,"8 fitur, sama persis",workspace/analisis/fisik_413_ntb_ntt/01_siapkan_curah_hujan.py; workspace/analisis/fisik_413_ntb_ntt/02_export_ke_webgis.py
Klimatologi,Curah Hujan per Pos (NTT),pos_curah_hujan_ntt,data/pos_curah_hujan_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/fisik_413_ntb_ntt/output/pos_curah_hujan_ntt.gpkg,"21 fitur, sama persis",workspace/analisis/fisik_413_ntb_ntt/01_siapkan_curah_hujan.py; workspace/analisis/fisik_413_ntb_ntt/02_export_ke_webgis.py
Klimatologi,Zona Agroklimat Oldeman (NTB+NTT),agroklimat_oldeman_ntb_ntt,data/agroklimat_oldeman_ntb_ntt.json,analysis,Salinan GPKG (terverifikasi),workspace/analisis/fisik_413_ntb_ntt/output/agroklimat_oldeman_ntb_ntt.gpkg,"11 fitur, sama persis",workspace/analisis/fisik_413_ntb_ntt/04_agroklimat.py
Klimatologi,Zona Agroklimat Schmidt-Ferguson (NTB+NTT),agroklimat_schmidt_ferguson_ntb_ntt,data/agroklimat_schmidt_ferguson_ntb_ntt.json,analysis,Salinan GPKG (terverifikasi),workspace/analisis/fisik_413_ntb_ntt/output/agroklimat_schmidt_ferguson_ntb_ntt.gpkg,"12 fitur, sama persis",workspace/analisis/fisik_413_ntb_ntt/04_agroklimat.py
Klimatologi,Zona Iklim (Schmidt-Ferguson),klimatologi_ntt,data/klimatologi_ntt.json,input,Salinan GPKG (terverifikasi),workspace/klimatologi/klimatologi_peta_klimatologi_ntt.gpkg,"13 fitur, sama persis",
Pasar,Pasar (Indonesia),pasar_indonesia,data/pasar_indonesia.json,input,Salinan GPKG (terverifikasi),workspace/pasar/pasar_sisp_kemendag.gpkg,"3,690 fitur, sama persis",workspace/pasar/export_ke_webgis.py
Pelabuhan,Pelabuhan Perikanan (Indonesia),pelabuhan_perikanan_indonesia,data/pelabuhan_perikanan_indonesia.json,input,Salinan GPKG (terverifikasi),workspace/pelabuhan/pelabuhan_perikanan_pipp_kkp_lengkap.gpkg,"686 fitur, sama persis",workspace/pelabuhan/export_ke_webgis.py
Pengerucutan Sentra Pangan,Pengerucutan Sentra Pangan (NTB),pengerucutan_sentra_pangan_ntb,data/pengerucutan_sentra_pangan_ntb.json,input,Salinan GPKG (terverifikasi),workspace/sentra_pangan/pengerucutan_sentra_pangan_ntb_kemenpu.gpkg,"10 fitur, sama persis",workspace/sentra_pangan/build_pengerucutan_ntb.py
Pengerucutan Sentra Pangan,Pengerucutan Sentra Pangan (NTT),pengerucutan_sentra_pangan_ntt,data/pengerucutan_sentra_pangan_ntt.json,input,Salinan GPKG (terverifikasi),workspace/sentra_pangan/pengerucutan_sentra_pangan_ntt_kemenpu.gpkg,"22 fitur, sama persis",workspace/sentra_pangan/build_pengerucutan_ntt.py
Pergudangan,Gudang (Indonesia),pergudangan_gudang_indonesia,data/pergudangan_gudang_indonesia.json,input,Salinan GPKG (terverifikasi),workspace/pergudangan/pergudangan_gudang.gpkg,"1,031 fitur, sama persis",workspace/pergudangan/export_ke_webgis.py
Permukiman & Utilitas,BPB,cipta_karya_nustra_bpb,data/infra/cipta_karya_nustra_bpb.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/CK/infrastruktur_bpb.gpkg,"21 fitur, sama persis",
Permukiman & Utilitas,IPAL,cipta_karya_nustra_ipal,data/infra/cipta_karya_nustra_ipal.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/CK/infrastruktur_ipal.gpkg,"9 fitur, sama persis",
Permukiman & Utilitas,IPLT,cipta_karya_nustra_iplt,data/infra/cipta_karya_nustra_iplt.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/CK/infrastruktur_iplt.gpkg,"8 fitur, sama persis",
Permukiman & Utilitas,PKS,cipta_karya_nustra_pks,data/infra/cipta_karya_nustra_pks.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/CK/infrastruktur_pks.gpkg,"68 fitur, sama persis",
Permukiman & Utilitas,PLBN,cipta_karya_nustra_plbn,data/infra/cipta_karya_nustra_plbn.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/CK/infrastruktur_plbn.gpkg,"4 fitur, sama persis",
Permukiman & Utilitas,Rumah Sakit,cipta_karya_nustra_rumah_sakit,data/infra/cipta_karya_nustra_rumah_sakit.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/CK/infrastruktur_rumah_sakit.gpkg,"4 fitur, sama persis",
Permukiman & Utilitas,SPAM,cipta_karya_nustra_spam,data/infra/cipta_karya_nustra_spam.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/CK/infrastruktur_spam.gpkg,"83 fitur, sama persis",
Permukiman & Utilitas,TPA,cipta_karya_nustra_tpa,data/infra/cipta_karya_nustra_tpa.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/CK/infrastruktur_tpa.gpkg,"14 fitur, sama persis",
Peternakan,"Populasi Sapi Potong per Kecamatan (NTB, 5 Kab. Prioritas)",fsn_sapi_kecamatan_ntb,data/fsn_sapi_kecamatan_ntb.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/fsn_sapi_ntb/03_export_ke_webgis.py
Prasarana Strategis,Gedung SPPG,prasarana_strategis_nustra_gedung_sppg,data/infra/prasarana_strategis_nustra_gedung_sppg.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/Prasarana_Strategis/infrastruktur_gedung_sppg.gpkg,"5 fitur, sama persis",
Prasarana Strategis,Madrasah,prasarana_strategis_nustra_madrasah,data/infra/prasarana_strategis_nustra_madrasah.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/Prasarana_Strategis/infrastruktur_madrasah.gpkg,"67 fitur, sama persis",
Prasarana Strategis,Perguruan Tinggi,prasarana_strategis_nustra_perguruan_tinggi,data/infra/prasarana_strategis_nustra_perguruan_tinggi.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/Prasarana_Strategis/infrastruktur_perguruan_tinggi.gpkg,"2 fitur, sama persis",
Prasarana Strategis,Sarana Prasarana Perekonomian,prasarana_strategis_nustra_sarana_prasarana_perekonomian,data/infra/prasarana_strategis_nustra_sarana_prasarana_perekonomian.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/Prasarana_Strategis/infrastruktur_sarana_prasarana_perekonomian.gpkg,"2 fitur, sama persis",
Prasarana Strategis,Sekolah,prasarana_strategis_nustra_sekolah,data/infra/prasarana_strategis_nustra_sekolah.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/Prasarana_Strategis/infrastruktur_sekolah.gpkg,"39 fitur, sama persis",
Rantai Pasok Padi (FSN),Estimasi Produksi Padi per Desa (NTB),fsn_padi_desa_ntb,data/fsn_padi_desa_ntb.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/lbs_padi_desa_ntb/03_export_ke_webgis.py
Rantai Pasok Padi (FSN),"Produksi → Pengolahan → Beras → Konsumsi (NTT, s.d. level desa)",fsn_supply_chain,-,analysis,Alat bantu peta,-,,
Sosial-Ekonomi,"Indikator Sosial Kabupaten (NTB+NTT) — IPM, Kemiskinan, Populasi",sosial_kabupaten_ntb_ntt,data/sosial_kabupaten_ntb_ntt.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/sosial_kabupaten_ntb_ntt/02_export_ke_webgis.py
Sosial-Ekonomi,"Kinerja Ekonomi Sektor Pertanian (NTB+NTT, per kabupaten)",sosial_ekonomi_pertanian_ntb_ntt,data/sosial_ekonomi_pertanian_ntb_ntt.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Sumber Daya Air & Irigasi,Bendung,sda_nustra_bendung,data/infra/sda_nustra_bendung.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_bendung.gpkg,"178 fitur, sama persis",
Sumber Daya Air & Irigasi,Bendungan Konstruksi,sda_nustra_bendungan_konstruksi,data/infra/sda_nustra_bendungan_konstruksi.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_bendungan_konstruksi.gpkg,"2 fitur, sama persis",
Sumber Daya Air & Irigasi,Bendungan Operasi,sda_nustra_bendungan_operasi,data/infra/sda_nustra_bendungan_operasi.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_bendungan_operasi.gpkg,"96 fitur, sama persis",
Sumber Daya Air & Irigasi,Daerah Irigasi Permukaan,sda_nustra_daerah_irigasi_permukaan,data/infra/sda_nustra_daerah_irigasi_permukaan.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_daerah_irigasi_permukaan.gpkg,"48 fitur, sama persis",
Sumber Daya Air & Irigasi,Danau,sda_nustra_danau,data/infra/sda_nustra_danau.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_danau.gpkg,"2 fitur, sama persis",
Sumber Daya Air & Irigasi,Intake Sungai,sda_nustra_intake_sungai,data/infra/sda_nustra_intake_sungai.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_intake_sungai.gpkg,"16 fitur, sama persis",
Sumber Daya Air & Irigasi,Kebutuhan Air,sda_nustra_kebutuhan_air,data/infra/sda_nustra_kebutuhan_air.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_kebutuhan_air.gpkg,"7 fitur, sama persis",
Sumber Daya Air & Irigasi,Mata Air,sda_nustra_mata_air,data/infra/sda_nustra_mata_air.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_mata_air.gpkg,"38 fitur, sama persis",
Sumber Daya Air & Irigasi,Neraca Air,sda_nustra_neraca_air,data/infra/sda_nustra_neraca_air.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_neraca_air.gpkg,"7 fitur, sama persis",
Sumber Daya Air & Irigasi,PAH_ ABSAH,sda_nustra_pah_absah,data/infra/sda_nustra_pah_absah.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_pah_absah.gpkg,"23 fitur, sama persis",
Sumber Daya Air & Irigasi,Pengaman Pantai,sda_nustra_pengaman_pantai,data/infra/sda_nustra_pengaman_pantai.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_pengaman_pantai.gpkg,"28 fitur, sama persis",
Sumber Daya Air & Irigasi,Pengendali Sedimen,sda_nustra_pengendali_sedimen,data/infra/sda_nustra_pengendali_sedimen.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_pengendali_sedimen.gpkg,"8 fitur, sama persis",
Sumber Daya Air & Irigasi,Pos Curah Hujan,sda_nustra_pos_curah_hujan,data/infra/sda_nustra_pos_curah_hujan.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_pos_curah_hujan.gpkg,"177 fitur, sama persis",
Sumber Daya Air & Irigasi,Pos Duga Air,sda_nustra_pos_duga_air,data/infra/sda_nustra_pos_duga_air.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_pos_duga_air.gpkg,"68 fitur, sama persis",
Sumber Daya Air & Irigasi,Pos Klimatologi,sda_nustra_pos_klimatologi,data/infra/sda_nustra_pos_klimatologi.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_pos_klimatologi.gpkg,"19 fitur, sama persis",
Sumber Daya Air & Irigasi,Sumur,sda_nustra_sumur,data/infra/sda_nustra_sumur.json,input,Salinan GPKG (terverifikasi),workspace/infrastruktur/SDA/infrastruktur_sumur.gpkg,"2,712 fitur, sama persis",
Survei Flores,Rute Survei Flores (NTT) — Hari 1 (Labuan Bajo: Bandara–TPI Kampung Ujung–Pasar Batu Cermin–Warloka),survei_flores_tahap1_rute_hari1,data/survei_flores_tahap1_rute_hari1.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Survei Flores,Rute Survei Flores (NTT) — Hari 2 (Labuan Bajo: kunjungan 5 dinas Kab. Manggarai Barat),survei_flores_tahap1_rute_hari2,data/survei_flores_tahap1_rute_hari2.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Survei Flores,Rute Survei Flores (NTT) — Hari 3 (Mbeliling (jagung)–Lembor–Gudang Tangge–Ruteng),survei_flores_tahap1_rute_hari3,data/survei_flores_tahap1_rute_hari3.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Survei Flores,Rute Survei Flores (NTT) — Hari 4 (Ruteng: Satar Mese Barat–BULOG–Reo–Borong),survei_flores_tahap1_rute_hari4,data/survei_flores_tahap1_rute_hari4.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Survei Flores,Rute Survei Flores (NTT) — Hari 5 (kunjungan dinas Manggarai Timur–Compang Ndejing–Pasar Borong–Mbay),survei_flores_tahap1_rute_hari5,data/survei_flores_tahap1_rute_hari5.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Survei Flores,Rute Survei Flores (NTT) — Hari 6 (kunjungan dinas Nagekeo–Pelabuhan Marapokot–Bendungan Mbay–Ende),survei_flores_tahap1_rute_hari6,data/survei_flores_tahap1_rute_hari6.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Survei Flores,"Rute Survei Flores (NTT) — Hari 7 (Ende: Hotel–Bandara, kepulangan)",survei_flores_tahap1_rute_hari7,data/survei_flores_tahap1_rute_hari7.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,
Survei Flores,"Titik Observasi — Survei Flores Tahap I (NTT, Pulau Flores)",survei_flores_tahap1_titik,data/survei_flores_tahap1_titik.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/survei_flores_tahap1/03_export_ke_webgis.py
Tanah,Jenis Tanah WRB (NTB+NTT) - estimasi,jenis_tanah_ntb_ntt,data/jenis_tanah_ntb_ntt.json,analysis,Salinan GPKG (terverifikasi),workspace/analisis/fisik_414_tanah/output/jenis_tanah_ntb_ntt.gpkg,"23 fitur, sama persis",workspace/analisis/fisik_414_tanah/01_jenis_tanah_soilgrids.py
Topografi & Lereng,Garis Kontur (NTB+NTT),kontur_ntb_ntt,data/kontur_ntb_ntt.json,analysis,Olahan dari GPKG,workspace/analisis/fisik_412_ntb_ntt/output/kontur_ntb_ntt_50m.gpkg,"GPKG 14,659 fitur -> publish 6,743 fitur",workspace/analisis/fisik_412_ntb_ntt/09_export_kontur_ke_webgis.py
Topografi & Lereng,Kemiringan Lereng (NTB+NTT),kemiringan_lereng_ntb_ntt,data/kemiringan_lereng_ntb_ntt.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/fisik_412_ntb_ntt/06_export_ke_webgis.py
Zonasi Garam,"Produksi Garam per Desa (Kab. Sumbawa, NTB, 2025)",produksi_garam_desa_sumbawa,data/produksi_garam_desa_sumbawa.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/zonasi_garam_ntt/06_choropleth_desa_sumbawa.py
Zonasi Garam,"Produksi Garam per Kabupaten (NTT, 2025)",produksi_garam_kabupaten_ntt,data/produksi_garam_kabupaten_ntt.json,analysis,Lahir sebagai JSON (hasil analisis),-,tidak ada GPKG setara; keluaran skrip analisis,workspace/analisis/zonasi_garam_ntt/03_choropleth_produksi_garam.py; workspace/analisis/zonasi_garam_ntt/04_export_choropleth_ke_webgis.py
Zonasi Garam,Zonasi/Lokasi Garam (NTT),zonasi_garam_ntt,data/zonasi_garam_ntt.json,input,Salinan GPKG (terverifikasi),workspace/analisis/zonasi_garam_ntt/output/zonasi_garam_ntt_hasil.gpkg,"34 fitur, sama persis",workspace/analisis/zonasi_garam_ntt/02_export_ke_webgis.py
